Date,Close,Open,High,Low,Volume,Change_pct
2019-03-20,31040.84,31082.32,31104.90,31015.27,,-0.0013
2019-03-19,31082.32,31125.39,31133.59,30965.22,,-0.0014
2019-03-18,31125.39,31142.72,31156.47,31103.67,,-0.0006
2019-03-15,31142.72,31175.88,31265.21,31102.10,,-0.0022
2019-03-14,31210.79,31369.91,31390.78,31210.79,,-0.0048
2019-03-13,31360.28,31313.36,31360.28,31057.66,,0.0015
2019-03-12,31313.36,31636.66,31645.24,31267.99,,-0.0102
2019-03-11,31636.66,31718.23,31792.81,31636.66,,-0.0090
2019-03-08,31924.51,32010.06,32043.49,31876.24,,-0.0027
2019-03-07,32010.06,32121.74,32159.87,32041.74,,-0.0035
2019-03-06,32121.74,32173.66,32173.66,32062.03,,-0.0016
2019-03-05,32173.66,32129.94,32252.89,32126.42,,0.0014
2019-03-04,32129.94,31827.24,32129.94,31827.24,,0.0095
2019-03-01,31827.24,31718.70,31935.28,31708.89,,0.0034
2019-02-28,31718.70,32247.54,32953.54,31718.70,,-0.0163
2019-02-27,32244.24,32473.82,32524.10,32185.06,,-0.0071
2019-02-26,32473.82,32700.12,32745.92,32441.42,,-0.0069
2019-02-25,32700.12,32516.05,32713.13,32516.05,,0.0057
2019-02-22,32515.52,32568.66,32617.13,32473.74,,-0.0016
2019-02-21,32568.66,32646.16,32734.37,32568.66,,-0.0014
2019-02-20,32614.06,32410.13,32617.94,32392.46,,0.0064
2019-02-19,32406.18,32190.07,32416.04,32157.29,,0.0067
2019-02-18,32190.07,32715.20,32738.95,31824.22,,-0.0161
2019-02-15,32715.20,32457.63,32958.96,32457.63,,0.0081
2019-02-14,32453.69,32413.92,32496.18,32367.49,,0.0012
2019-02-13,32413.92,32463.38,32635.13,32267.37,,-0.0015
2019-02-12,32462.31,31783.00,32462.69,31783.00,,0.0214
2019-02-11,31781.87,31529.92,31891.23,31515.44,,0.0080
2019-02-08,31529.92,31457.17,31845.63,31457.17,,0.0031
2019-02-07,31433.49,30817.22,31433.49,30817.22,,0.0198
2019-02-06,30821.80,30773.57,30825.20,30728.01,,0.0016
2019-02-05,30773.57,30745.05,30773.57,30521.42,,0.0009
2019-02-04,30745.05,30636.36,30754.09,30636.36,,0.0035
2019-02-01,30636.36,30557.20,30740.63,30557.20,,0.0026
2019-01-31,30557.20,31142.58,31142.58,30557.20,,-0.0189
2019-01-30,31145.34,31178.71,31202.30,31143.37,,-0.0011
2019-01-29,31178.71,31334.61,31334.61,31178.71,,-0.0053
2019-01-28,31344.24,31422.75,31457.07,31241.99,,-0.0026
2019-01-25,31426.63,30989.60,31428.64,30981.90,,0.0141
2019-01-24,30989.60,30886.32,30989.60,30866.96,,0.0036
2019-01-23,30878.56,30736.88,30880.67,30736.88,,0.0046
2019-01-22,30736.88,30732.72,30811.19,30485.34,,0.0001
2019-01-21,30732.72,31005.17,31041.06,30720.76,,-0.0088
2019-01-18,31005.17,30566.38,31005.17,30526.18,,0.0138
2019-01-17,30583.21,30460.68,30597.02,30297.38,,0.0040
2019-01-16,30460.68,30138.06,30541.04,30001.87,,0.0165
2019-01-15,29964.79,29964.79,30172.40,29964.79,,0.0000
2019-01-14,29964.79,29830.70,29985.66,29689.73,,0.0045
2019-01-11,29830.70,29522.31,30438.21,29518.35,,0.0106
2019-01-10,29517.73,29336.80,29612.33,29329.62,,0.0062
2019-01-09,29336.80,30036.15,30084.28,29336.80,,-0.0233
2019-01-08,30036.15,30397.63,30488.52,29999.95,,-0.0120
2019-01-07,30400.28,30638.90,30709.65,30260.03,,-0.0078
2019-01-04,30638.90,30770.70,30770.70,30577.18,,-0.0043
2019-01-03,30771.32,31070.06,31078.43,30749.66,,-0.0096
2019-01-02,31070.06,31429.34,31434.04,31065.25,,-0.0115
2018-12-31,31430.50,31036.63,31430.50,30753.93,,0.0127
2018-12-28,31037.72,31693.17,31771.38,31029.89,,-0.0207
2018-12-27,31692.63,31967.01,31967.01,31569.28,,-0.0086
2018-12-24,31967.01,30773.64,31967.01,30773.64,,0.0388
2018-12-21,30773.64,30802.90,30911.22,30704.47,,-0.0009
